Category,Kmer,Sample,Program,Score,Reads
Complete,KmerA,MM1,Transpi,96.9,"33,540,466"
Complete,KmerA,MM2,Transpi,96.4,"43,541,512"
Complete,KmerA,MM3,Transpi,97,"43,440,008"
Complete,KmerA,MM4,Transpi,95.8,"33,595,655"
Complete,KmerA,MM5,Transpi,95,"33,174,108"
Complete,KmerA,MM6,Transpi,95.5,"35,030,665"
Complete,KmerA,MM7,Transpi,95.6,"34,877,241"
Complete,KmerA,CE1,Transpi,85.5,"24,017,399"
Complete,KmerA,CE2,Transpi,85.3,"24,409,279"
Complete,KmerA,CE3,Transpi,85.3,"24,694,386"
Complete,KmerA,CE4,Transpi,85.7,"26,159,433"
Complete,KmerA,CE5,Transpi,85.4,"26,417,070"
Complete,KmerA,CE6,Transpi,85.2,"24,711,402"
Complete,KmerA,DM1,Transpi,44.7,"15,648,174"
Complete,KmerA,DM2,Transpi,44.6,"15,181,806"
Complete,KmerA,DM3,Transpi,37,"9,857,308"
Complete,KmerA,DM4,Transpi,39.8,"15,940,368"
Complete,KmerA,DM5,Transpi,48.5,"18,874,930"
Complete,KmerA,DM6,Transpi,35.1,"21,169,448"
Complete,KmerA,DM7,Transpi,41.6,"16,177,860"
Complete,KmerA,DM8,Transpi,40.1,"12,436,324"
Complete,KmerA,DM9,Transpi,66.4,"26,395,792"
Complete,KmerB,MM1,Transpi,96.8,"33,540,466"
Complete,KmerB,MM2,Transpi,96.9,"43,541,512"
Complete,KmerB,MM3,Transpi,96.7,"43,440,008"
Complete,KmerB,MM4,Transpi,95.9,"33,595,655"
Complete,KmerB,MM5,Transpi,95.2,"33,174,108"
Complete,KmerB,MM6,Transpi,95.7,"35,030,665"
Complete,KmerB,MM7,Transpi,95.4,"34,877,241"
Complete,KmerB,CE1,Transpi,85.4,"24,017,399"
Complete,KmerB,CE2,Transpi,85,"24,409,279"
Complete,KmerB,CE3,Transpi,85.5,"24,694,386"
Complete,KmerB,CE4,Transpi,85.7,"26,159,433"
Complete,KmerB,CE5,Transpi,85.5,"26,417,070"
Complete,KmerB,CE6,Transpi,85.1,"24,711,402"
Complete,KmerB,DM1,Transpi,44.1,"15,648,174"
Complete,KmerB,DM2,Transpi,43.7,"15,181,806"
Complete,KmerB,DM3,Transpi,36.9,"9,857,308"
Complete,KmerB,DM4,Transpi,40,"15,940,368"
Complete,KmerB,DM5,Transpi,47.5,"18,874,930"
Complete,KmerB,DM6,Transpi,34.2,"21,169,448"
Complete,KmerB,DM7,Transpi,41.1,"16,177,860"
Complete,KmerB,DM8,Transpi,39.9,"12,436,324"
Complete,KmerB,DM9,Transpi,66.1,"26,395,792"
Complete,KmerC,MM1,Transpi,97.5,"33,540,466"
Complete,KmerC,MM2,Transpi,96.5,"43,541,512"
Complete,KmerC,MM3,Transpi,97,"43,440,008"
Complete,KmerC,MM4,Transpi,95.8,"33,595,655"
Complete,KmerC,MM5,Transpi,95,"33,174,108"
Complete,KmerC,MM6,Transpi,95.6,"35,030,665"
Complete,KmerC,MM7,Transpi,95.6,"34,877,241"
Complete,KmerC,CE1,Transpi,85.4,"24,017,399"
Complete,KmerC,CE2,Transpi,85.2,"24,409,279"
Complete,KmerC,CE3,Transpi,85.2,"24,694,386"
Complete,KmerC,CE4,Transpi,85.7,"26,159,433"
Complete,KmerC,CE5,Transpi,85.4,"26,417,070"
Complete,KmerC,CE6,Transpi,85.1,"24,711,402"
Complete,KmerC,DM1,Transpi,44.5,"15,648,174"
Complete,KmerC,DM2,Transpi,43.7,"15,181,806"
Complete,KmerC,DM3,Transpi,36.8,"9,857,308"
Complete,KmerC,DM4,Transpi,40.1,"15,940,368"
Complete,KmerC,DM5,Transpi,47.9,"18,874,930"
Complete,KmerC,DM6,Transpi,34.2,"21,169,448"
Complete,KmerC,DM7,Transpi,41.7,"16,177,860"
Complete,KmerC,DM8,Transpi,39.7,"12,436,324"
Complete,KmerC,DM9,Transpi,66.4,"26,395,792"
Single-Copy,KmerA,MM1,Transpi,85.9,"33,540,466"
Single-Copy,KmerA,MM2,Transpi,85.5,"43,541,512"
Single-Copy,KmerA,MM3,Transpi,86,"43,440,008"
Single-Copy,KmerA,MM4,Transpi,84.9,"33,595,655"
Single-Copy,KmerA,MM5,Transpi,83.1,"33,174,108"
Single-Copy,KmerA,MM6,Transpi,85.5,"35,030,665"
