Category,Kmer,Sample,Program,Score,Reads
Complete,KmerA,MM1,Transpi,97.1,"21,173,335"
Complete,KmerA,MM2,Transpi,96.7,"22,731,971"
Complete,KmerA,MM3,Transpi,94.6,"68,712,046"
Complete,KmerA,MM4,Transpi,95.9,"59,012,049"
Complete,KmerA,MM5,Transpi,95.7,"21,930,527"
Complete,KmerA,CE1,Transpi,85.9,"20,345,696"
Complete,KmerA,CE2,Transpi,86.4,"19,948,493"
Complete,KmerA,CE3,Transpi,85.4,"21,276,093"
Complete,KmerA,CE4,Transpi,85.7,"23,993,704"
Complete,KmerA,CE5,Transpi,85.7,"25,110,365"
Complete,KmerA,CE6,Transpi,84.7,"22,967,010"
Complete,KmerA,DM1,Transpi,83,"8,276,228"
Complete,KmerA,DM2,Transpi,96.2,"47,552,414"
Complete,KmerA,DM3,Transpi,95.2,"45,807,064"
Complete,KmerA,DM4,Transpi,91.1,"29,221,598"
Complete,KmerA,DM5,Transpi,93.4,"46,936,912"
Complete,KmerB,MM1,Transpi,97.2,"21,173,335"
Complete,KmerB,MM2,Transpi,97.1,"22,731,971"
Complete,KmerB,MM3,Transpi,94.8,"68,712,046"
Complete,KmerB,MM4,Transpi,95.6,"59,012,049"
Complete,KmerB,MM5,Transpi,95.5,"21,930,527"
Complete,KmerB,CE1,Transpi,85.7,"20,345,696"
Complete,KmerB,CE2,Transpi,85.8,"19,948,493"
Complete,KmerB,CE3,Transpi,85,"21,276,093"
Complete,KmerB,CE4,Transpi,85.3,"23,993,704"
Complete,KmerB,CE5,Transpi,85.3,"25,110,365"
Complete,KmerB,CE6,Transpi,85,"22,967,010"
Complete,KmerB,DM1,Transpi,83.1,"8,276,228"
Complete,KmerB,DM2,Transpi,95.5,"47,552,414"
Complete,KmerB,DM3,Transpi,95.6,"45,807,064"
Complete,KmerB,DM4,Transpi,91.1,"29,221,598"
Complete,KmerB,DM5,Transpi,92.6,"46,936,912"
Complete,KmerC,MM1,Transpi,97.3,"21,173,335"
Complete,KmerC,MM2,Transpi,97.1,"22,731,971"
Complete,KmerC,MM3,Transpi,93.7,"68,712,046"
Complete,KmerC,MM4,Transpi,95.9,"59,012,049"
Complete,KmerC,MM5,Transpi,96.1,"21,930,527"
Complete,KmerC,CE1,Transpi,85.7,"20,345,696"
Complete,KmerC,CE2,Transpi,86.3,"19,948,493"
Complete,KmerC,CE3,Transpi,85.6,"21,276,093"
Complete,KmerC,CE4,Transpi,85.7,"23,993,704"
Complete,KmerC,CE5,Transpi,85.9,"25,110,365"
Complete,KmerC,CE6,Transpi,84.9,"22,967,010"
Complete,KmerC,DM1,Transpi,83,"8,276,228"
Complete,KmerC,DM2,Transpi,96.1,"47,552,414"
Complete,KmerC,DM3,Transpi,95.4,"45,807,064"
Complete,KmerC,DM4,Transpi,91.3,"29,221,598"
Complete,KmerC,DM5,Transpi,93.4,"46,936,912"
Single-Copy,KmerA,MM1,Transpi,79,"21,173,335"
Single-Copy,KmerA,MM2,Transpi,78.6,"22,731,971"
Single-Copy,KmerA,MM3,Transpi,82.6,"68,712,046"
Single-Copy,KmerA,MM4,Transpi,81.5,"59,012,049"
Single-Copy,KmerA,MM5,Transpi,74.5,"21,930,527"
Single-Copy,KmerA,CE1,Transpi,76.2,"20,345,696"
Single-Copy,KmerA,CE2,Transpi,75.1,"19,948,493"
Single-Copy,KmerA,CE3,Transpi,74.4,"21,276,093"
Single-Copy,KmerA,CE4,Transpi,76,"23,993,704"
Single-Copy,KmerA,CE5,Transpi,75.8,"25,110,365"
Single-Copy,KmerA,CE6,Transpi,74.7,"22,967,010"
Single-Copy,KmerA,DM1,Transpi,78.3,"8,276,228"
Single-Copy,KmerA,DM2,Transpi,80.1,"47,552,414"
Single-Copy,KmerA,DM3,Transpi,81.8,"45,807,064"
Single-Copy,KmerA,DM4,Transpi,82,"29,221,598"
Single-Copy,KmerA,DM5,Transpi,79.8,"46,936,912"
Single-Copy,KmerB,MM1,Transpi,81.5,"21,173,335"
Single-Copy,KmerB,MM2,Transpi,79.3,"22,731,971"
Single-Copy,KmerB,MM3,Transpi,83.1,"68,712,046"
Single-Copy,KmerB,MM4,Transpi,81.9,"59,012,049"
Single-Copy,KmerB,MM5,Transpi,75.2,"21,930,527"
Single-Copy,KmerB,CE1,Transpi,75.3,"20,345,696"
Single-Copy,KmerB,CE2,Transpi,74.8,"19,948,493"
Single-Copy,KmerB,CE3,Transpi,74,"21,276,093"
Single-Copy,KmerB,CE4,Transpi,75.5,"23,993,704"
Single-Copy,KmerB,CE5,Transpi,74.8,"25,110,365"
Single-Copy,KmerB,CE6,Transpi,75.2,"22,967,010"
Single-Copy,KmerB,DM1,Transpi,78,"8,276,228"
Single-Copy,KmerB,DM2,Transpi,77.3,"47,552,414"
Single-Copy,KmerB,DM3,Transpi,81.9,"45,807,064"
Single-Copy,KmerB,DM4,Transpi,82,"29,221,598"
Single-Copy,KmerB,DM5,Transpi,80.3,"46,936,912"
Single-Copy,KmerC,MM1,Transpi,81.1,"21,173,335"
Single-Copy,KmerC,MM2,Transpi,78.8,"22,731,971"
Single-Copy,KmerC,MM3,Transpi,83.2,"68,712,046"
Single-Copy,KmerC,MM4,Transpi,81.4,"59,012,049"
