Category,Kmer,Sample,Program,Score,Reads
Complete,KmerA,MM1,Transpi,96.3,"182,180,123"
Complete,KmerA,MM2,Transpi,97,"107,280,600"
Complete,KmerA,MM3,Transpi,97.3,"127,017,374"
Complete,KmerA,MM4,Transpi,97.3,"102,909,165"
Complete,KmerA,MM5,Transpi,97.3,"65,372,078"
Complete,KmerA,MM6,Transpi,53.9,"27,016,597"
Complete,KmerA,CE1,Transpi,82.3,"49,743,412"
Complete,KmerA,CE2,Transpi,82.3,"38,836,876"
Complete,KmerA,CE3,Transpi,67.1,"11,166,310"
Complete,KmerA,CE4,Transpi,80.4,"11,626,153"
Complete,KmerA,CE5,Transpi,85.3,"12,567,755"
Complete,KmerA,CE6,Transpi,69.6,"14,372,593"
Complete,KmerA,DM1,Transpi,95.4,"30,515,068"
Complete,KmerA,DM2,Transpi,95.8,"24,284,630"
Complete,KmerA,DM3,Transpi,95,"24,773,404"
Complete,KmerA,DM4,Transpi,95.6,"30,140,704"
Complete,KmerA,DM5,Transpi,94.6,"25,828,680"
Complete,KmerA,DM6,Transpi,95.2,"19,049,236"
Complete,KmerB,MM1,Transpi,96.9,"182,180,123"
Complete,KmerB,MM2,Transpi,96.7,"107,280,600"
Complete,KmerB,MM3,Transpi,96.3,"127,017,374"
Complete,KmerB,MM4,Transpi,96.9,"102,909,165"
Complete,KmerB,MM5,Transpi,97.5,"65,372,078"
Complete,KmerB,MM6,Transpi,54.1,"27,016,597"
Complete,KmerB,CE1,Transpi,82.4,"49,743,412"
Complete,KmerB,CE2,Transpi,82.3,"38,836,876"
Complete,KmerB,CE3,Transpi,66.9,"11,166,310"
Complete,KmerB,CE4,Transpi,80.5,"11,626,153"
Complete,KmerB,CE5,Transpi,85.1,"12,567,755"
Complete,KmerB,CE6,Transpi,69.5,"14,372,593"
Complete,KmerB,DM1,Transpi,95.4,"30,515,068"
Complete,KmerB,DM2,Transpi,95.6,"24,284,630"
Complete,KmerB,DM3,Transpi,95.3,"24,773,404"
Complete,KmerB,DM4,Transpi,95.7,"30,140,704"
Complete,KmerB,DM5,Transpi,94.9,"25,828,680"
Complete,KmerB,DM6,Transpi,95,"19,049,236"
Complete,KmerC,MM1,Transpi,96.7,"182,180,123"
Complete,KmerC,MM2,Transpi,97.3,"107,280,600"
Complete,KmerC,MM3,Transpi,97.4,"127,017,374"
Complete,KmerC,MM4,Transpi,42.7,"102,909,165"
Complete,KmerC,MM5,Transpi,97.3,"65,372,078"
Complete,KmerC,MM6,Transpi,53.8,"27,016,597"
Complete,KmerC,CE1,Transpi,82.4,"49,743,412"
Complete,KmerC,CE2,Transpi,82.2,"38,836,876"
Complete,KmerC,CE3,Transpi,66.6,"11,166,310"
Complete,KmerC,CE4,Transpi,80.5,"11,626,153"
Complete,KmerC,CE5,Transpi,85,"12,567,755"
Complete,KmerC,CE6,Transpi,69.7,"14,372,593"
Complete,KmerC,DM1,Transpi,95.7,"30,515,068"
Complete,KmerC,DM2,Transpi,95.9,"24,284,630"
Complete,KmerC,DM3,Transpi,95.6,"24,773,404"
Complete,KmerC,DM4,Transpi,95.3,"30,140,704"
Complete,KmerC,DM5,Transpi,95,"25,828,680"
Complete,KmerC,DM6,Transpi,95.4,"19,049,236"
Single-Copy,KmerA,MM1,Transpi,76.3,"182,180,123"
Single-Copy,KmerA,MM2,Transpi,75.5,"107,280,600"
Single-Copy,KmerA,MM3,Transpi,77.2,"127,017,374"
Single-Copy,KmerA,MM4,Transpi,79.9,"102,909,165"
Single-Copy,KmerA,MM5,Transpi,82.2,"65,372,078"
Single-Copy,KmerA,MM6,Transpi,50.5,"27,016,597"
Single-Copy,KmerA,CE1,Transpi,76.4,"49,743,412"
Single-Copy,KmerA,CE2,Transpi,78.6,"38,836,876"
Single-Copy,KmerA,CE3,Transpi,63.9,"11,166,310"
Single-Copy,KmerA,CE4,Transpi,76.6,"11,626,153"
Single-Copy,KmerA,CE5,Transpi,73,"12,567,755"
Single-Copy,KmerA,CE6,Transpi,62.3,"14,372,593"
Single-Copy,KmerA,DM1,Transpi,80.2,"30,515,068"
Single-Copy,KmerA,DM2,Transpi,78.6,"24,284,630"
Single-Copy,KmerA,DM3,Transpi,80.9,"24,773,404"
Single-Copy,KmerA,DM4,Transpi,78.9,"30,140,704"
Single-Copy,KmerA,DM5,Transpi,80,"25,828,680"
Single-Copy,KmerA,DM6,Transpi,80.2,"19,049,236"
Single-Copy,KmerB,MM1,Transpi,76,"182,180,123"
Single-Copy,KmerB,MM2,Transpi,76.7,"107,280,600"
Single-Copy,KmerB,MM3,Transpi,76.2,"127,017,374"
Single-Copy,KmerB,MM4,Transpi,80.8,"102,909,165"
Single-Copy,KmerB,MM5,Transpi,82.4,"65,372,078"
Single-Copy,KmerB,MM6,Transpi,50.6,"27,016,597"
Single-Copy,KmerB,CE1,Transpi,77,"49,743,412"
Single-Copy,KmerB,CE2,Transpi,78.8,"38,836,876"
Single-Copy,KmerB,CE3,Transpi,63.3,"11,166,310"
Single-Copy,KmerB,CE4,Transpi,76.3,"11,626,153"
Single-Copy,KmerB,CE5,Transpi,72.3,"12,567,755"
Single-Copy,KmerB,CE6,Transpi,63.2,"14,372,593"
Single-Copy,KmerB,DM1,Transpi,78.3,"30,515,068"
Single-Copy,KmerB,DM2,Transpi,78.4,"24,284,630"
Single-Copy,KmerB,DM3,Transpi,81,"24,773,404"
Single-Copy,KmerB,DM4,Transpi,79.2,"30,140,704"
Single-Copy,KmerB,DM5,Transpi,81.2,"25,828,680"
Single-Copy,KmerB,DM6,Transpi,81.5,"19,049,236"
Single-Copy,KmerC,MM1,Transpi,75.1,"182,180,123"
Single-Copy,KmerC,MM2,Transpi,75.2,"107,280,600"
Single-Copy,KmerC,MM3,Transpi,77,"127,017,374"
Single-Copy,KmerC,MM4,Transpi,40.3,"102,909,165"
Single-Copy,KmerC,MM5,Transpi,79.9,"65,372,078"
Single-Copy,KmerC,MM6,Transpi,50.9,"27,016,597"
Single-Copy,KmerC,CE1,Transpi,76.7,"49,743,412"
Single-Copy,KmerC,CE2,Transpi,77.9,"38,836,876"
Single-Copy,KmerC,CE3,Transpi,63.4,"11,166,310"
Single-Copy,KmerC,CE4,Transpi,76.8,"11,626,153"
